"zona","barrio","condcasa","acons","aremo","aventa","precio"
"RL","CollgCr",5,2001,2002,2006,205000
"RL","CollgCr",7,1972,1972,2006,149900
"RM","OldTown",9,1880,2002,2008,295000
"RL","CollgCr",5,2004,2005,2007,305900
"RL","SawyerW",5,1990,1991,2007,225000
"RM","IDOTRR",7,1920,1950,2008,89500
"RL","Edwards",5,1940,1950,2009,82500
"RL","NridgHt",5,2003,2004,2006,360000
"RL","Gilbert",5,1993,1994,2006,165600
"RL","NAmes",6,1948,2002,2009,132000
"RM","OldTown",7,1939,1950,2006,119900
"RL","Timber",5,1965,1965,2009,375000
"RM","OldTown",7,1925,1990,2006,178000
"RL","Gilbert",5,2004,2005,2009,188500
"RL","NWAmes",7,1980,1980,2009,260000
"FV","Somerst",5,2006,2006,2007,270000
"RL","NoRidge",5,1993,1993,2009,260000
"RL","NWAmes",5,1980,1980,2009,187500
"RL","NridgHt",5,2006,2006,2006,342643
"RL","NridgHt",5,2004,2004,2007,354000
"RL","SawyerW",5,1986,1987,2007,301000
"RM","OldTown",8,1955,2005,2006,126175
"RL","NAmes",7,1967,2007,2010,242000
"RM","IDOTRR",6,1941,1950,2007,87000
"RL","Veenker",5,1993,1993,2008,324000
"RL","NAmes",5,1960,1960,2006,145250
"RL","BrkSide",6,1916,1994,2009,214500
"RM","IDOTRR",5,1920,1950,2009,78000
"RL","NAmes",4,1964,1964,2007,119000
"RL","NAmes",6,1958,1992,2007,139000
"RL","NridgHt",5,2003,2004,2009,284000
"RM","NridgHt",5,2004,2004,2008,207000
"RL","Gilbert",5,1998,1998,2008,192000
"RL","Timber",6,1965,1965,2008,228950
"RL","StoneBr",5,2005,2006,2007,377426
"RL","CollgCr",5,2002,2003,2008,214000
"RL","NWAmes",7,1984,1998,2006,202500
"RL","NAmes",7,1958,1998,2009,155000
"RL","Timber",5,2002,2002,2010,202900
"RH","SawyerW",4,1950,1950,2009,82000
"RL","NAmes",4,1949,1950,2006,87500
"RL","NridgHt",5,2005,2005,2008,266000
"RM","MeadowV",3,1976,1976,2010,85000
"RL","BrkSide",5,1939,1950,2006,140200
"RL","NAmes",8,1960,1998,2007,151500
"RL","NAmes",5,1960,1960,2009,157500
"RL","NridgHt",5,2003,2004,2008,154000
"RL","NridgHt",5,2005,2006,2006,437154
"RL","NridgHt",5,2007,2007,2007,318061
"RL","ClearCr",5,1986,1986,2006,190000
"RL","Edwards",6,1941,1950,2008,95000
"RM","OldTown",8,1928,2003,2010,105900
"RL","SWISU",5,1940,2000,2006,140000
"RL","CollgCr",5,1995,1995,2007,177500
"RL","Gilbert",6,1992,1992,2009,173000
"RM","MeadowV",5,1976,1976,2007,134000
"RL","ClearCr",4,1958,1958,2006,130000
"RL","NoRidge",5,1998,1998,2006,280000
"RL","Mitchel",6,1978,1978,2007,156000
"RL","BrkSide",5,1940,1982,2008,145000
"RL","Edwards",5,2003,2003,2009,198500
"RM","BrDale",8,1972,2007,2009,118000
"RL","NWAmes",5,1976,1976,2006,190000
"RM","IDOTRR",7,1920,1997,2009,147000
"RL","NAmes",5,1963,1963,2009,159000
"RL","NAmes",5,1962,1962,2008,165000
"RL","NAmes",6,1954,1954,2010,132000
"RL","NAmes",7,1959,2006,2010,162000
"RL","Gilbert",5,2000,2000,2006,172400
"RL","ClearCr",4,1959,1959,2008,134432
"RL","SawyerW",5,1984,1984,2010,125000
"RL","NAmes",6,1953,1953,2009,123000
"RL","CollgCr",5,2003,2004,2007,219500
"RL","Edwards",1,1922,1950,2009,61000
"RL","CollgCr",5,1996,1996,2006,148000
"FV","Somerst",5,2004,2005,2007,340000
"RL","StoneBr",2,2010,2010,2010,394432
"RL","Gilbert",5,2000,2000,2009,179000
"RL","SWISU",6,1924,1950,2010,127000
"FV","Somerst",5,2006,2006,2006,187750
"RL","CollgCr",5,2006,2006,2007,213500
"RH","SawyerW",3,1928,1950,2009,76000
"RL","ClearCr",5,1992,1992,2007,240000
"RL","Blmngtn",5,2004,2005,2010,192000
"RL","Edwards",3,1910,1996,2006,81000
"RL","Edwards",6,1976,1976,2009,125000
"RL","CollgCr",5,1999,2000,2008,191000
"RL","NridgHt",5,2007,2008,2008,426000
"RL","Edwards",8,1900,1950,2008,119000
"RL","Mitchel",5,2001,2002,2009,215000
"RL","NAmes",7,1959,1959,2007,106500
"RL","BrkSide",5,1941,1950,2006,100000
"RL","OldTown",6,1940,1950,2007,109000
"RL","Edwards",6,1956,1956,2010,129000
"RL","CollgCr",5,1972,1972,2009,123000
"RL","NAmes",5,1962,1962,2007,169500
"RM","IDOTRR",2,1920,1950,2007,67000
"FV","Somerst",5,2006,2007,2009,241000
"RL","Veenker",5,1996,1996,2008,245500
"RL","CollgCr",5,2005,2005,2006,164990
"RL","Sawyer",8,1940,1997,2008,108000
"RL","NoRidge",5,1998,1998,2006,258000
"RL","Gilbert",5,1995,1996,2007,168000
"RL","Sawyer",4,1976,1993,2009,150000
"RL","SWISU",5,1936,1950,2008,115000
"RL","Crawfor",7,1915,1976,2008,177000
"RL","NridgHt",5,2006,2006,2007,280000
"FV","Somerst",5,2007,2008,2008,339750
"RL","Edwards",3,1958,1958,2009,60000
"RL","Gilbert",5,1955,1955,2006,145000
"FV","Somerst",5,2009,2009,2010,222000
"RM","OldTown",6,1927,1950,2010,115000
"RL","SawyerW",5,1993,1993,2008,228000
"RL","Gilbert",5,2007,2007,2007,181134
"RL","Sawyer",7,1978,1978,2006,149500
"RL","Crawfor",6,1918,1950,2007,239000
"RL","Edwards",6,1940,1950,2007,126000
"RL","NAmes",6,1968,1968,2010,142000
"RM","Mitchel",5,1997,1998,2008,206300
"RL","NWAmes",7,1977,2000,2009,215000
"RL","Mitchel",5,1954,1954,2008,113000
"RL","NoRidge",5,1998,1998,2008,315000
"RL","NAmes",5,1956,1956,2008,139000
"RM","OldTown",8,1946,1992,2009,135000
"RL","SawyerW",5,1989,1989,2009,275000
"RL","NAmes",6,1957,1957,2008,109008
"RL","CollgCr",5,2007,2007,2007,195400
"RL","Timber",5,1988,1988,2009,175000
"RM","BrDale",5,1971,1971,2008,85400
"RM","OldTown",7,1920,1998,2008,79900
"RM","BrDale",5,1971,1971,2007,122500
"RL","Gilbert",5,1997,1998,2008,181000
"RM","MeadowV",7,1972,1972,2008,81000
"RL","CollgCr",6,1996,1996,2009,212000
"RM","OldTown",8,1920,1950,2006,116000
"RM","BrkSide",7,1926,2004,2009,119000
"RL","Crawfor",6,1913,2002,2007,90350
"RL","Edwards",8,1920,2000,2009,110000
"RL","NridgHt",5,2008,2008,2009,555000
"RL","Edwards",4,1955,1955,2008,118000
"RM","BrkSide",7,1930,1992,2008,162900
"RL","Blmngtn",5,2006,2007,2007,172500
"RL","CollgCr",5,1994,1995,2008,210000
"RL","Edwards",5,1956,1956,2009,127500
"RL","NAmes",6,1966,2002,2010,190000
"RL","Gilbert",5,1998,1999,2006,199900
"RM","IDOTRR",6,1937,1950,2006,119500
"RM","OldTown",7,1948,2002,2007,120000
"RM","OldTown",8,1930,2005,2006,110000
"RL","ClearCr",5,1975,1975,2006,280000
"RL","Timber",5,1996,1997,2007,204000
"FV","Somerst",5,2008,2008,2009,210000
"RL","Mitchel",5,1976,1976,2006,188000
"RL","NWAmes",6,1973,1973,2007,175500
"RM","OldTown",5,1916,1950,2008,98000
"RL","ClearCr",6,1954,1994,2008,256000
"RM","OldTown",7,1925,1996,2008,161000
"RL","BrkSide",4,1950,1950,2009,110000
"FV","Somerst",5,2009,2009,2009,263435
"RL","SWISU",9,1936,2007,2009,155000
"RL","Sawyer",5,1965,1965,2009,62383
"RL","Crawfor",7,1934,1995,2008,188700
"RL","CollgCr",5,1978,1978,2009,124000
"RM","Blmngtn",5,2004,2004,2006,178740
"RL","NAmes",5,1970,1970,2007,167000
"RL","NAmes",7,1942,1995,2007,146500
"RL","NridgHt",5,2006,2006,2007,250000
"RL","SawyerW",5,1993,1993,2008,187000
"RL","StoneBr",5,1985,1985,2010,212000
"RL","NWAmes",6,1977,1977,2007,190000
"RM","Edwards",5,2005,2005,2008,148000
"RL","NridgHt",5,2006,2007,2007,440000
"RL","StoneBr",5,2000,2000,2007,251000
"RL","Sawyer",6,1963,1963,2007,132500
"RL","CollgCr",5,1997,1998,2008,208900
"RL","NridgHt",5,2006,2006,2007,380000
"RL","CollgCr",5,2007,2008,2009,297000
"RM","OldTown",7,1937,2000,2007,89471
"RL","NridgHt",5,2004,2005,2006,326000
"RL","NridgHt",5,2003,2004,2006,374000
"RM","OldTown",8,1915,2005,2009,155000
"RM","Mitchel",5,1998,1998,2006,164000
"RL","Sawyer",7,1962,2001,2007,132500
"RL","NAmes",7,1950,2007,2009,147000
"RL","NAmes",7,1965,1965,2007,156000
"RL","NWAmes",6,1971,1971,2007,175000
"RL","OldTown",4,1900,1970,2006,160000
"RM","MeadowV",8,1970,2002,2009,86000
"RM","MeadowV",6,1976,1976,2008,115000
"RL","NAmes",7,1941,1950,2006,133000
"RL","Gilbert",5,2006,2006,2006,172785
"RL","NAmes",6,1960,1960,2008,155000
"RM","OldTown",8,1938,1996,2009,91300
"C (all)","IDOTRR",5,1920,1950,2009,34900
"RL","NoRidge",5,1992,1993,2007,430000
"RL","BrkSide",6,1925,1950,2008,184000
"RL","Sawyer",7,1967,2004,2009,130000
"RL","NAmes",7,1958,1985,2007,120000
"RM","BrDale",5,1973,1973,2007,113000
"FV","Somerst",5,2005,2005,2008,226700
"RL","Edwards",7,1965,1965,2007,140000
"RL","Crawfor",8,1959,1997,2010,289000
"RL","NPkVill",5,1974,1974,2009,147000
"RM","OldTown",5,1952,1952,2009,124500
"RL","SawyerW",5,1993,1994,2006,215000
"FV","Somerst",5,2009,2009,2009,208300
"RM","OldTown",9,1928,2005,2008,161000
"RL","NAmes",6,1959,1959,2009,124500
"RL","NAmes",7,1951,2000,2009,164900
"RL","NridgHt",5,2005,2006,2006,202665
"RL","NAmes",5,1958,1958,2006,129900
"RL","Mitchel",5,1983,1983,2007,134000
"RL","Crawfor",5,1926,1950,2007,96500
"RL","NridgHt",5,2009,2009,2009,402861
"RL","NWAmes",6,1972,1972,2009,158000
"RL","NoRidge",5,1996,1997,2009,265000
"RL","CollgCr",5,1998,1998,2007,211000
"RL","Crawfor",9,1926,2004,2009,234000
"RL","OldTown",7,1900,2000,2008,106250
"RL","NAmes",6,1957,1957,2007,150000
"RM","BrkSide",7,1947,1950,2006,159000
"RL","Edwards",5,2007,2008,2007,184750
"RL","NoRidge",5,1996,1997,2007,315750
"FV","Somerst",5,2005,2005,2006,176000
"RL","NAmes",7,1956,2000,2007,132000
"RL","NridgHt",5,2008,2008,2008,446261
"RL","Edwards",7,1920,2002,2007,86000
"RL","Crawfor",3,1957,1975,2007,200624
"RL","Timber",5,1988,1989,2008,175000
"RM","BrkSide",8,1920,1999,2008,128000
"RL","NAmes",7,1955,2007,2010,107500
"RL","BrkSide",3,1946,1950,2007,39300
"RL","Gilbert",5,2004,2004,2006,178000
"RL","Edwards",7,1910,1991,2008,107500
"RL","CollgCr",5,1998,1999,2008,188000
"RL","NAmes",5,1972,1972,2008,111250
"RL","Sawyer",5,1968,1968,2006,158000
"RL","CollgCr",5,2001,2002,2010,272000
"RL","Timber",5,2006,2006,2009,315000
"RL","NoRidge",5,2000,2000,2007,248000
"RL","NWAmes",5,1998,1999,2009,213250
"RH","NAmes",5,1998,1998,2007,133000
"RL","Gilbert",5,2006,2006,2006,179665
"RL","NWAmes",5,1988,1988,2006,229000
"RL","BrkSide",7,1923,1950,2007,210000
"RL","Mitchel",7,1970,1970,2007,129500
"RM","OldTown",7,1955,1995,2008,125000
"FV","Somerst",5,2003,2004,2009,263000
"RL","NPkVill",6,1977,1977,2008,140000
"RM","OldTown",6,1957,1957,2008,112500
"RL","NridgHt",5,2006,2006,2009,255500
"RL","Edwards",5,1949,2003,2009,108000
"RL","NridgHt",5,2003,2004,2008,284000
"RM","BrkSide",6,1922,1950,2006,113000
"RL","NAmes",5,1957,1957,2006,141000
"C (all)","IDOTRR",6,1920,1950,2006,108000
"RL","Gilbert",5,1996,1997,2008,175000
"RL","Blmngtn",5,2003,2004,2006,234000
"RL","Sawyer",6,1957,1996,2010,121500
"RL","Mitchel",5,1974,1975,2006,170000
"RL","Edwards",6,1940,1969,2008,108000
"RL","Edwards",7,1918,1950,2008,185000
"RL","NoRidge",5,1992,2000,2006,268000
"RL","SWISU",4,1915,1950,2010,128000
"RL","StoneBr",5,2005,2007,2008,325000
"RL","NridgHt",5,2004,2004,2010,214000
"RL","SawyerW",8,1983,2009,2009,316600
"RL","NAmes",5,1979,1979,2006,135960
"RL","NAmes",5,1965,1965,2008,142600
"RL","NAmes",6,1959,1959,2006,120000
"RL","Timber",5,2009,2009,2009,224500
"RL","Gilbert",5,2000,2000,2007,170000
"RL","NAmes",7,1971,2005,2007,139000
"RL","NAmes",5,1947,1950,2008,118500
"RL","SWISU",7,1928,1950,2009,145000
"RL","Sawyer",6,1966,1966,2006,164500
"FV","Somerst",5,2007,2007,2008,146000
"RM","OldTown",5,1954,1954,2008,131500
"RL","NAmes",6,1960,1987,2007,181900
"RL","NridgHt",5,2008,2009,2009,253293
"RL","Edwards",5,1990,1990,2007,118500
"RM","OldTown",9,1893,2000,2008,325000
"RM","BrkSide",7,1935,1995,2009,133000
"RL","Timber",5,2005,2006,2006,369900
"RL","BrkSide",7,1918,2000,2008,130000
"RL","Sawyer",6,1982,1982,2009,137000
"RL","ClearCr",8,1968,2003,2009,143000
"RM","BrkSide",6,1930,1960,2008,79500
